,proverb,meaning,example
643,چیزی را بالا کشیدن,مال یا دارایی کسی را برخلاف تمایل او صاحب شدن و پس ندادن,- صدهزار تومن دستی بهش دادم، بالا کشید. توضیح: همچنین ← «چیزی را ملاخور کردن» و ←«یک اب یا ابی هم روی چیزی خوردن»
644,چیزی را به تخم خود هم حساب نکردن,( رکیک ) به چیزی هیچ اهمیتی ندادن؛ برای چیزی هیچ ارزشی قایل نشدن,تهدیدهاشونو به تخمش هم حساب نکرد.
645,چیزی را به ناف کسی بستن,1- ناسزا یا حرف زشت به کسی گفتن 2- چیزی را به خورد کسی دادن,1-این شد که هروقت قاصدی از جانب نیاکان چهاردست وپایشان می امد، او را دوره می کردند و ان قدر فحش های اب نکشیده به نافش می بستند که از رو می رفت.  ( قضیه ی نمک ترکی – صادق هدایت )   2- یه اب زیپویی به اسم سوپ پیاز فرانسوی به ناف ما بست و با همون سروته قضیه رو به هم اورد.
646,چیزی را به یا بر باد دادن,چیزی را نابود کردن یا به هدر دادن,ثروت زیادی به ارث بر، اما همه را به باد داد.
647,چیزی را پای کسی یا چیزی گذاشتن,کسی یا چیزی را در موضوعی مقصر دانستن,همه ی اهل محل می دانند که این شیخ از بچگی گوشش سنگین بود، ولی حالا که موقعیت گیر اورده، سنگینی گوشش را به پای یک سیلی که از همسایه اش خورده می گذارد.
648,چیزی را پیراهن عثمان کردن,چیزی را برای رسوا کردن یا زیر فشار قرار دادن کسی بهانه کردن,به نظر من این حرف کاملا مضحک و بی اساس بود، اما جرجاانی گفت که ممکن است از راه بدجنسی مثلا یک محاکمه ی عقب افتاده یا موضوعی را پیرهن عثمان بکنند.  ( نامه های صادق هدایت به حسن شهید نورایی ) توضیح: بنا به روایت، پس از کشته شدن عثمان خلیفه ی سوم مسلمانان و به خلافت رسیدن علی، داماد و پسرعموی محمد، معاویه که با او مخالف بود، پیراهن خون الود عثمان را در مسجد اویخت و علی را قاتل او معرفی کرد. این عمل نزد شیعیان که به حقانیت علی باور دارند، تنها بهانه ای برای شوراندن مردم علیه او بود.
649,چیزی را پیش یا جلوی بچه بگذاری قهر می کند,.  کنایه از کم یا بی مقدار بودن چیزی,اخه با این یه ریزه برنج که کسی سیر نمی شه، اینو پیش بچه بذاری قهر می کنه.
650,چیزی را در کوزه گذاشتن و ابش را خوردن,بیان بی ارزش بودن چیزی,فوق لیسانست را باید بگذاری در کوزه و ابش را بخوری. اینجا باید کار بلد باشی، کسی برای مدرک های ما تره هم خرد نمی کند.
651,چیزی را درز گرفتن,چیزی را کوتاه یا مختصر کردن یا ناتمام گذاشتن یا پیگیری نکردن,روزنامه ها و مجله های بازاری هر روز ماجراهای مربوط به قتل ان زن را با اب وتاب می نوشتند، اما همین که معلوم شد ماجرا ارتباطی با دربار دارد، خودشان موضوع را درز گرفتند و خبر داغ دیگری را به جای ان عنوان کردند.
652,چیزی را روی داریه یا دایره ریختن,1- فاش یا برملا کردن 2- اسرار دیگری را برملا کردن و باعث رسوایی او شدن,1- هرچه می دانی بریز روی داریه تا ببینم چه می توانم برایت بکنم.  2- من اعتماد کردم و حرف دلم را به او زدم. اما او به هر کس رسید همه را روی داریه ریخت. توضیح: ریشه ی این اصط. به تعبیری در روابط نوازندگان و خوانندگان قدیم است:  درمجالس طرب رسم بر این بود که چون اهل مجلس از هنرنمایی مطربان خوششان می امد به انها انعام می دادند. در پایان مجلس گروه خنیاگران انچه انعام گرفته بودند، روی دایره ای می ریختند و همه را میان خود تقسیم می کردند.
653,چیزی را عروس کردن,چیزی را به دیگری دادن یا بخشیدن یا فروختن,عموجان چندین بار گفت این قالیچه را برای تو نگه داشته ام، اما اخرین باری که به خانه شان رفتم دیدم ان را عروس کرده است.
654,چیزی را ماست مالی کردن,1- لاپوشانی کردن؛ تلاش برای فراموش شدن یا پایمال کردن چیزی 2- انجام سرسری یا ظاهری یا سطحی کاری؛ سروته چیزی را به نحوی به هم اوردن,1- مطبوعات ما با مردم روراست نیستند و فقط وظیفه شان این است که کثافت کاری های دولت را ماست مالی کنند.  2- بالاخره بعد از اعتراض ها و تقاضاهای فراوان اهالی، قرار شد خیابان را تعمیر کنند، اما به جای تعمیر اساسی، همان اسفالت قدیمی را کمی ماست مالی کردند و رفتند. توضیح: هنگام عروسی محمدرضا پهلوی و فوزیه چون قرار بود میهمانان مصری و همراهان عروس با قطار از جنوب تهران وارد شوند، از طرف دربار و شهربانی دستور داده شده بود که دیوارهای همه ی خانه های روستاهای مسیر خط اهن را سفید کنند. در یکی از روستاها چون گچ در دسترس نبود، به دستور بخشدار دیوارها را با کشک و ماست که در ان ده فراوان بود سفید کردند. از ان زمان اصط. ماست مالی کردن رایج شد و به تدریج معنی امروزی را یافت.  ( خلاصه ی مقاله ای از روزنامه ی صبح شیراز به نقل از محمد مسعود )
655,چیزی را ملاخور کردن,چیزی را از کسی گرفتن و پس ندادن؛ مال دیگری را که [ به امانت یا برای انجام کاری یا... ] نزد کسی هست، پس ندادن,- اگر پشت گوشت را دیدی، به طلبت هم خواهی رسید. این شخص استاد ملاخور کردن است.  - شرکت سه ماه تمام کارگران را با وعده و وعید سر دواند و سر اخر هم مزد و حقوق عقب افتاده ی همه را ملاخور کرد. توضیح: رواج عمومی این اصطلاح گواه بر این است که بسیاری از مردم ایران از دیرباز نظر خوشی نسبت به ملایان نداشته و انان را امین نمی دانسته اند.  همچنین ← «یک اب یا ابی هم روی چیزی خوردن» و ← «چیزی را بالا کشیدن»
656,چیزی نه به دار است نه به بار,هنوز قطعی یا حتمی نیست یا نمی توان به عملی شدن ان امید داشت.,در ان جلسه حرف های زیادی درباره ی تامین بودجه ی این طرح زده شد، اما هنوز نه به دار است نه به بار.
657,چیزی که عوض نداره گله نداره,نباید از مقابله به مثل ناراحت شد.,
658,چیزی یا کسی را زیر ذره بین گذاشتن یا قرار دادن,چیزی یا کسی را زیر نظارت شدید قرار دادن؛ به چیزی یا کسی بیش از اندازه دقت کردن؛,باید رفتار این فرد را زیر ذره بین گذاشت تا روشن شود که برای چه کسی کار می کند
659,حاتم بخشی,. [ ت  ب  ] ( حامص مرکب ) به تعییر و نکوهش ، عمل بسیار بخشیدن. || اسراف. تبذیر.,
660,حاجی حاجی مکه,رفتن یکباره یا بی خبر کسی؛ گاه درباره ی کسانی گفته می شود که مدتی اشنایان را از خود بی خبر می گذارند.,روی این ادم اصلا نمی شه حساب کرد. الان رابطه اش باهات خوبه و هر روز به دیدنت می اد، اما یک باره حاجی حاجی، مکه و گمش می زنه.
661,حاشا و کلا,. [ وک ل  لا ] ( ع صوت مرکب ) ابدا. بهیچوجه : کلاه رفعت و تاج سلیمان بهر کل کی رسد .مولوی.|| منزهم از این کار یا فکر.,
662,حاشیه رفتن,( ~. ر ت ) [ ع - فا. ] (مص ل . ) از موضوع اصلی خارج شدن .,
663,حال امدن,(  ) ( مصدر ) چاق شدن فربه گشتن . یا به  . بهوش امدن هوش خود را باز یافتن .,
664,حال پخش کردن,به همه لطف کردن,
665,حال دادن,. [ د ] ( مص مرکب ) شرح حال گفتن : عشق ان کو حال بنده با تو دادوصف شاهی در نهاد ما نهاد.اسیری لاهیجی.,
666,حال گیری کردن,شادی یا سرخوشی کسی را از بین بردن؛ کسی را ازردن؛ شوروشوق کسی را از بین بردن,حال گیری نکن دیگه، می خوایم همگی بریم سینما و خوش باشیم. تو هم باید بیای !
667,حال وهوای کاری را داشتن یا در یا توی حال وهوای کاری بودن,امادگی روحی برای انجام کاری را داشتن,- دیدم اصلا حال وهوای مسافرت رفتن با همکاران را ندارم، اما نمی توانستم به صراحت بگویم، این بود که خودم را به مریضی زدم.  - نه کسی موافقت می کرد و نه مخالفت. به نظر می رسید که هیچ کس در حال وهوای بحث کردن نیست.
668,حال کردن,. [ ک  د ] ( مص مرکب ) کیف کردن. طرب. شعف. وجد. ( غیاث اللغات ). || در تداول عامه فارسی زبانان ، لذت بردن از ساز و اواز رامشگر و امثال ان. لذت بردن از سماع یا منظر خوبرویی : دیشب نظر در اینه خط و خال کردخال و خطی بدید که افتاد و حال کرد.شانی تکلو.مجنون در اسمان چو قمر دید حال کردگویا کماج خیمه لیلی خیال کرد.اصفی.,
669,حال کسی به هم خوردن,1- به ضعف شدید یا سرگیجه یا حالت تهوع دچار شدن 2- حالت نفرت یا انزجار به کسی دست دادن,1- یک دفعه حالش به هم خورد و افتاد روی زمین.  2- این پسره دایم دستش توی دماغشه، حال ادم به هم می خوره.
670,حال کسی جا یا سر جا یا سر جایش امدن,1- از خستگی یا کسالت یا خمودگی بیرون امدن؛ به حال عادی بازگشتن 2- دست برداشتن از عمل ناپسند دراثر تنبیه یا اخطار,1- بعداز کمی استراحت حالشان جا امد و به بالا رفتن از کوه ادامه دادند.  2- مثل اینکه تا کتک نخوری، حالت جا نمی اد !
671,حال کسی خراب بودن,1- بیمار بودن؛ وضع جسمی یا روحی خوبی نداشتن 2- تعادل عقلی نداشتن؛ گیج بودن 3- از نظر جنسی بی بندوبار بودن؛ عفیف یا پاکدامن نبودن,1- از چند روز پیش بستری است، حالش خراب است.  2- این ادم حالش خراب است، حرف هایش سندیتی ندارند،  3- خودش ادم سربه راهی است، اما شنیده ام حال زنش خراب است. توضیح: این اصط. در معنی سوم، بیشتر درباره ی زنان به کار می رود.
672,حال کسی را جا یا سرجا یا سرجایش اوردن,1- کسی را دوباره تندرست کردن؛ وضع جسمانی کسی را بهتر کردن 2- کسی را از خستگی یا خمودگی بیرون اوردن 3- کسی را با تنبیه یا کتک زدن یا پرخاش یا اخطار شدید ← سر جای خود نشاندن,1- در بیمارستان ظرف چند ساعت حالش را جا اوردند.  2- موسیقی شاد حال همه را جا اورد.  3- صاحب کافه به کمک یکی از مشتریان او را کشان کشان به خیابان برد و حالش را جا اورد.
673,حال کسی را داشتن,امادگی برای دیدار یا گفتگو با کسی را داشتن,امروز اصلا حال این ادمو ندارم. اگر پیداش شد، هرطور که خودت صلاح می دونی، دست به سرش کن.
674,حال کسی را گرفتن,کسی را ازرده خاطر یا ناراحت کردن یا از شورو وق انداختن,مدیر این بار به او به شدت اخطار داد و حسابی حالش را گرفت.
675,حال کسی سر جا نبودن,از نظر جسمی یا روحی ناراحت بودن,دیروز حالش سر جایش نبود، من هم ان موضوع را اصلا مطرح نکردم.
676,حال کسی گرفته شدن,از شورو وق افتادن؛ ازرده یا ناراحت شدن,"- خودش همیشه می گفت: ""می دونم که قبول نمی شم"" اما وقتی دید که همه ی دوستانش قبول شده اند، حسابی حالش گرفته شد.  - از بس پیرمرد قرولند کرد، حالم گرفته شد."
677,حال یا حال وحوصله ی حال وهوای یا چیزی کسی یا کاری را داشتن,حوصله ی چیزی یا کسی یا امادگی برای کاری را داشتن,- دیشب اصلا حال هیچ کاری را نداشتم، دوتا شیشه ابجو از یخچال برداشتم و نشستم جلوی تلویزیون.  - راستشو بخوای، حال وحوصله ی این یارو رو ندارم، هرجوری که خودت صلاح می دونی دست به سرش کن.
678,حالا کو تا ان,... تا... زمان درازی است یا فرصت زیاد است,حالا کو تا هفته ی دیگه، مادر ! چند روز اینجا بمون، برات غذاهای خوب بپزم، یک کم سرحال بیای.
679,حالت چیزی به کسی دست دادن,احساس مبتلا شدن به چیزی,از صبح چیزی نخورده بودم و حالت ضعف به من دست داد.
680,حالی به حالی شدن یا کردن,دچار تغییر حالت [ روحی ] شدن یا کردن؛ به شدت تحت تاثیر قرار گرفتن یا قرار دادن,- از هوای صبحگاه بهاری، زمزمه ی جویبار و عطر گیاهان کوهستان حالی به حالی شده بود.  - سخن ران با لحن پرشورش همه ی شنوندگان را حالی به حالی کرد.
681,حالی کسی بودن یا شدن,فهمیدن؛ متوجه شدن؛ دانستن,- اصلا حالیته چی دارم می گم؟ - ده بار گفتم، باز هم حالیش نشد.  - اقا مثلا دیپلم داره، ولی هیچی حالیش نیست.
682,حجت بر کسی تمام بودن یا شدن,( قدیم؛ مذهبی ) گفته شدن دلایل یا داده شدن هشدارهای لازم به کسی؛ اتمام حجت شدن با کسی,حجت بر شما جوانان تمام است، انتظار می رود که به وظیفه ی خود عمل کنید.
683,حجت بر کسی تمام کردن,( قدیم؛ مذهبی ) گفتن همه ی استدلال ها یا دادن هشدارهای لازم به کسی؛ اتمام حجت کردن با کسی,... و من حجت خود را بر تو تمام کرده ام تا اگر نفس سرکش بر تو چیره شود عذرى نزد من نداشته باشى.
684,حرف باد هواست,اشاره به کسانی که روی قولشان نتوان حساب کرد و حرفشان اعتبار چندانی نداشته باشد.,
685,حرف تو دهن کسی گذاشتن,نظر خود را به دیگری القا کردن و حرفی را که نگفته از قول او گفتن.,
686,حرف حرف می اورد,به هنگام سخن گفتن از چیزی، حرف به موضوعات دیگر کشیده شده و حرف های جدیدی بوجود می اید.,
687,حرف حساب جواب ندارد,سکوت در برابر حرف حق و درست و به جا.,
688,حرف حق تلخه,چون بسیاری از حرف های درست و به حق، واقعیتی تلخ و غیر قابل انکار را بیان می کند و ممکن است به ضرر بعضی تمام شود.,
689,حرف دهنت را بفهم,به کسی که هنگام صحبت به دلیلی از ادب خارج شده و حرف نامربوطی زده و به مخاطب توهین کند.,
690,حرف راست را باید از بچه شنید,از انجا که بچه ها فطرتی پاک و دست نخورده دارند و دروغ و ریا را نمی شناسند و از طرفی قوه تشخیص خوب و بد یا نفع و ضرر را ندارند هرچه می گویند عین حقیقت و از ته دل می باشد.,
691,حرف گل انداختن,گرم شدن صحبت.,
692,حرف مرد یکی است,مرد یا جوانمرد کسی است که حرف خود را عوض نکند و روی حرفی که زده بایستد و به قول خود پایدار و پایبند باشد.,
693,حرف مردم تمامی ندارد,اشاره به اینکه: هر کار کنی مردم بالاخره چیزی می گویند.,
694,حرف مفت زدن,. [ ح ف  م  ز د ] ( مص مرکب ) سخن گزاف و بیهوده گفتن.,
695,حرف مفت کفشت جفت,کسی که مزاحمی را جواب کرده، عذرش را بخواهد و راه خروج را نشانش بدهد.,
696,حرمت امام زاده با متوالی است,هرکس بزرگ ترش و همچنین نزدیکان و اطرافیانش را بزرگ بدارد و احترام کند، دیگران نیز به او و وابستگان او احترام می گذارند.,
697,حساب به دینار بخشش به خروار,در هنگام کرم و بخشش دقت و حساب گری وجود ندارد، اما در حساب و کتاب باید دقیق بود و حتی یک دینار را حساب کرد.,
698,حساب حسابه کاکا برادر,حساب و کتاب به جای خود، دوستی و برادری هم به جای خود.,
699,حساب سر انگشتی,. [ ح  ب  س  ا گ  ] ( ترکیب وصفی ، ا مرکب ) حساب هوائی. حساب عقود انامل. رجوع به ترکیبات حساب و حساب عقود انامل شود.,
700,حساب کار خود را کردن,ترسیدن و دست از کاری برداشتن,سرگروهبان هر چندروز یک بار یکی از سربازها را از صف بیرون می کشید و او را به بهانه ای تنبیه می کرد تا دیگران حساب کار خود را بکنند. توضیح: همچنین ← «ماست ها را کیسه کردن»
701,حسرت به دل کچل خدیجه مردم ندیدم نوه و نتیجه,حرف ادم حسود یا حسرت کس در مورد کسی که به مقصود خود رسیده و دق می کند اما خود از مثل ان محروم است.,
702,حسش نیست,حوصله اش را ندارم,
703,حسن خدا داده را حاجت مشاطه نیست,کسی که زیباست دیگر نیازی به ارایش و اب رنگ اضافی ندارد.,
704,حسنی به مکتب نمی رفت وقتی می رفت جمعه می رفت,کنایه از وقت نشناسی و انجام کار بی موقع.,
705,دست به عصا,محتاطانه، با دقت و ملاحظه رفتار کردن.,
706,دست بوس,دستبوس. [ د ] ( ا مرکب ) بوسه دست. بوسه که کسی بر دست دیگری دهد. || ( امص مرکب ) دستبوسی. تقبیل دست و بوسه زدن بر دست. ( ناظم الاطباء ). عمل بوسیدن کسی دست دیگری را : حضرت خلافت را شرم امد و عاطفت فرمود... و رتبت  ارزانی داشت. ( تاریخ بیهقی چ ادیب ص 31 ).ز روزگار خوش است این همه جز انکه لئیم ز دستبوس خداوند روزگار جداست.انوری ( از انندراج ).اگر بخدمت دست تو دررسد لب من ز دستبوس تو یا رب چه دستگاه نهم.خاقانی.این چرخ نازیبالقب از دستبوست کرده لب شیرین تر از اشک طرب از چشم بینا ریخته.خاقانی.چون امیر بدرالدوله... به خدمت دستبوس اعلی... پیوندد. ( منشات خاقانی چ دانشگاه ص 268 ). اصغرالخدم... به خدمت دستبوس اعلی نیازمندتر از ان است که... ( منشات خاقانی ص 149 ). بنده مجروح سینه... بر خاک نقش أنا العبد می نویسد و به دستبوس عالی... ارزومند میباشد. ( منشات خاقانی ص 52 ).جهاندار در وقت ان دستبوس ببخشیدشان چند خروار کوس.نظامی.به عزم دستبوسش قاف تا قاف کمر بسته کله داران اطراف.نظامی.شرف دستبوس مبارک حاصل کردند. ( المضاف الی بدایع الازمان ص 41 ). شرف دستبوس یافت و خدمات و پیش کشیها که برده بود عرض داد. ( المضاف الی بدایع الازمان ص 50 ).تا خدمت وداع کند حضرت تراامد به درگه تو بر امید دستبوس.محمدبن همام شهاب الدین.دستبوسش چون رسید از پادشاه برگزیند بوس پا باشد گناه.مولوی.اگر بر دستبوس او نباشد اوحدی دستت ز پایش بوسه ای بستان که کار از کار برخیزد.اوحدی.- دستبوس کردن ؛ عمل بوسیدن دست انجام دادن : پیش امد و دستبوس کرده و پیش تخت بنشاندش. ( تاریخ بیهقی چ ادیب ص 43 ).بخلوت کند شاه را دستبوس ز تشنیع برنارد اوای کوس.نظامی.به گرد پای سمندش نمیرسد مشتاق که دستبوس کنم تا بدان دهن چه رسد.سعدی.عالم چو پای بر سر افلاک می نهدگو جاهلش مکن بهمه عمر دستبوس.ابن یمین. || تشرف بخدمت. زیارت. دیدار : چنانکه گفت و زبان داد و شاد کرد مرابه دستبوس سپهدار خسرو ایران.فرخی.او را دل دهی کرد و بخدمت اورد بمصلی ترجی  یافت. ( تاریخ طبرستان ).بیشتر بخوانید ...,
707,دست چپ و راست را تشخیص ندادن,قدرت فهم و تشخیص نداشتن، نادان و مبتدی بودن.,
708,دست خر کوتاه,به کسی که بی اجازه دست به طرف چیزی دراز کند می گویند، یعنی دست درازی قدغن.,
709,دست خود را جایی یا کسی بند کردن,کاری پیدا کردن؛ با شخص بانفوذی رابطه پیدا کردن,- یادت باشد، در این مملکت تا دستت را به صاحب مقامی، صاحب منصبی بند نکنی به جایی نمی رسی.  ( زنبورشاه – مرتضی حقیقت )  - میان هم دوره های ما فقط من بیکار مانده ام، بقیه همه دست خود را به جایی بند کرده اند.
710,دست راستش زیر سر من,ادم ناامیدی که ارزو کند به جای دیگری و دارای موقعیت و وضعیت او باشد.,
711,دست رد بر سینه کسی زدن,کسی را طرد و ناامید کردن و جواب منفی دادن.,
712,دست شکسته ای زیر سر کسی داشتن,رازی یا سری یا سابقه ای منفی نزد کسی داشتن که برملا شدنش باعث رسوایی و دردسر شود,اقای رئیس با همه با خشونت و امرانه رفتار می کرد و فقط به محسنی احترام می گذاشت. همین امر باعث شده بود که بعضی ها فکر می کردند، دست شکسته ای زیر سر او دارد.
713,دست شکسته دنبال کار می رود اما دل شکسته نمی رود,در واقع روحیه و عشق و علاقه موجب انجام و پیشبرد کارهاست نه زحمت و تلاش ظاهری. اهمیت روحیه و علاقه به کار در مقابل تلاش جسمی.,
714,دست کسی امدن چیزی,1- [ به تصادف ] چیزی را به دست اوردن 2- چیزی را فهمیدن؛ متوجه چیزی شدن,1- پول وپله ای دستش امده بود و نمی دانست با ان چه کند.  2- چنان نقش خود را خوب بازی کرده بود که مردم روستا او را مانند مقدسان گرامی می داشتند، اما وقتی چندفقره از کلاهبرداری هایش رو شد، موضوع به دست مردم امد.
715,دست کسی را تو پوست گردو گذاشتن,کسی را لنگ و معطل کردن.,
716,دست کسی را خواندن,فکر کسی را خواندن، پی به خیالات کسی بردن.,
717,دست کم گرفتن,کم ارزش شمردن و به حساب نیاوردن چیزی یا کسی، کوچک و ناچیز تلقی کردن.,
718,دست پیش گرفتن تا یا که یا برای اینکه پس نیفتند,برای رفع اتهام از خود، تقصیر را به گردن دیگری انداختن؛ طلبکاری کردن در عین اگاهی به اینکه بدهکار است.,حالا دست پیش گرفته که پس نیفتد، برای اینکه به خاطر کثافت کاری هایش مورد مواخذه قرار نگیرد، دیگران را متهم می کند.
719,دستش از دنیا کوتاه است,معمولا برای جلوگیری از غیبت پشت سر مرده می گویند، یعنی دیگر در این دنیا نیست که از خود دفاع کند.,
720,دست به سیاه و سفید نزدن,بی کاره و تن پرور بودن و هیچ کاری انجام ندادن.,
721,دستش از گور بیرون مانده,مرده ای که حتی در زیر خاک هم نگران حال و وضع نزدیکان خود باشد.,
722,دستش به دهنش می رسه,کسی که وضع مالی نسبتا خوبی دارد و محتاج دیگران نیست.,
723,دستش نمک نداره,کسی که هر چه بی این و ان محبت و خوبی می کند قدر ان را نمی دانند و یا اینکه در مقابل بدی می بینند.,
724,دستم به دامنت یا دامنتان,!هنگام توسل به کسی برای یاری خواستن از او گفته می شود: از تو یا شما یاری می خواهم؛ به من کمک کن یا کنید؛ مرا نجات بده یا بدهید !,- اقای قاضی، دستم به دامنتان، به این بچه های صغیر رحم کنید ! - دستم به دامنت، اگه این موضوع رو بشه، خانواده ی ما در خطر قرار می گیره.
725,دستمالیسم,فرهنگ چاپلوسی,
726,دسته گل به اب دادن,خرابکاری کردن.,
727,دستی از دور بر اتش داشتن,از دور شاهد ماجرا بودن و از دشواری ها یا خطرات کار اطلاع نداشتن.,
728,دعوا سر لحاف ملا بودن,هنگامی گفته می شود که فردی در دعوایی که به او مربوط نبوده ضرر دیده یا در یک دعوای ساختگی، مالی را از دست داده باشد.,همه ی این جنگ ودعواها ظاهری و جنگ زرگری بود برای اینکه پول های مردم را بالا بکشند. درواقع دعوا سر لحاف ملا بود. توضیح: این اصط. به داستانی از ملانصرالدین بازمی گردد:  ملا در یک شب زمستانی در بستر خوابیده بود که یک باره غوغایی از کوچه بلند شد. همسر ملا از او خواست بیرون رود و ببیند چه خبر است... ملا لحاف را روی دوش انداخت و به کوچه رفت. دزدی به خانه ی همسایه ای رفته بود اما صاحب خانه متوجه شده و با هیاهو دیگران را به کوچه کشانده بود. در این میان، دزد که در گوشه ای پنهان شده بود، چشمش به ملا و لحافش افتاد، لحاف او را کشید و فرار کرد. وقتی ملا به خانه برگشت، زنش پرسید: چه خبر بود؟ ملا جواب داد: هیچ، دعوا سر لحاف من بود.
729,دعوا لحاف ملاست,برای رسیدن به مقصود چیزی را بهانه قرار دادن.,
730,دعوای یا جنگ حیدری نعمتی,است. توضیح: حیدری و نعمتی نام «دو فرقه ی غوغا» بوده است که از زمان صفویه تا دهه های اخیر در بیشتر شهرهای ایران حضور داشته و اغلب با هم درگیر بوده اند. شاه نعمت الله ولی سرسلسله ی نعمتی ها سنی مذهب بود ولی پیروان او در دوران صفوی به مذهب شیعه گرویدند. اما میرحیدر سرسلسله ی حیدری ها شیعه ی دوازده امامی بود.  ( برگرفته از لغت نامه ی دهخدا و دانشنامه ی ایرانیکا ),
731,دل از دست دادن,عاشق شدن,همین که چشمش به دختر افتاد، دل از دست داد.
732,دل از دست کسی رفتن,عاشق شدن,یکی را دل از دست رفته بود و ترک جان کرده و مطمح نظرش جایی خطرناک و مظنه هلاک نه لقمه ای که مصور شدی که به کام اید یا مرغی که به دام افتد.  ( گلستان سعدی )
733,دل به دریا زدن,ترس و تردید را کنار گذاشتن و هرچه باداباد گفتن و شجاعت اقدام کردن.,
734,دل به دل راه دارد,دوستی و محبت راه دل را به دل باز کرده و قلب ها را به یکدیگر ارتباط می دهد، عشق و علاقه دو طرفه است.,
735,دل پر شدن,از دنیا یا از کسی گله و ناراحتی داشتن.,
736,دل پرخونی از کسی داشتن,از کسی به شدت ازرده خاطر یا خشمگین بودن,از دست همه ی خویشاوندانش دل پرخونی داشت. می گفت که هرگز دشمنی های انها را فراموش نخواهد کرد.
737,دل پری از کسی داشتن,از کسی ازرده یا خشمگین یا گله مند بودن,دل پری از همسایه اش داشت. می گفت: اخر شما نمی دانید این ها با من چه کرده اند.
738,دل تو دل کسی نبودن,نگران یا بی قرار بودن,دو روز بود خبری از بچه ها نداشتم، دل تو دلم نبود، نمی دونستم چه کار کنم.
739,دل خود را خالی کردن,با گفتن حرفی یا انجام عملی رنج خود را کاهش دادن یا خود را سبک کردن,بسیاری از انسان ها کسی را برای درددل کردن ندارند و فقط برای خالی کردن دل خود پیش این روانکاوهای کلاش می روند.
740,دل خود را خوش کردن,امیدواری بیهوده به خود دادن,دلت را خوش نکن، از این ادم ها خیری به کسی نمی رسد.
741,دل خود را صاف کردن,تردید یا کینه را کنار گذاشتن؛ اعتماد کردن,دلت را صاف کن، اینجا کسی نمی خواهد به تو اسیبی برساند.
742,دل خوشی از کسی یا چیزی نداشتن,از کسی یا چیزی خشنود نبودن,- اهالی روستا دل خوشی از ماموران دولت نداشتند و سعی می کردند مسایلشان را میان خودشان حل کنند.  - ان مرحوم دل خوشی از این حزب بازیها نداشت، گمان می کرد که سر همه شان به جایی بند است.
743,دل دادن و قلوه گرفتن,گرم گفتگوی دوستانه یا خودمانی بودن,دل داده بودند و قلوه گرفته بودند و از گذشت زمان غافل بودند.
744,دل در گرو کسی داشتن,به کسی سخت دل بستگی داشتن,رفتم اما دل من مانده بر دوست هنوز می برم جسمی و دل در گرو اوست هنوز ( سیمین بهبهانی )
745,دل دل کردن,. [ د د ک  د ] ( مص مرکب ) مردد ماندن. تردید. دودلی. مردد بودن. دودل بودن. ( یادداشت مرحوم دهخدا ). تردید داشتن. دودلی و بی تصمیمی. مردد بودن در اقدام به کاری یا دست بازداشتن از ان. ( فرهنگ لغات عامیانه ). دلادل کردن. ( فرهنگ عوام ). || بی قراری کردن. ( غیاث ). اضطراب و بی قراری کردن. ( انندراج ) : کی به دست سنبل فردوس دل خواهیم دادتا که در سودای زلف یار دل دل می کنم.صائب ( از انندراج ).- دل و دل کردن ؛ اضطراب و بی قراری کردن. ( انندراج ).- || اظهار بی قراری کردن با گفتن لفظ «دل و دل » : دنبال چشم او دل و دل کرده می روم وز گریه راه را همه گل کرده می روم.سنجرکاشی ( از انندراج ).,
746,دل سنگ اب شدن,بسیار غم انگیز یا رقت انگیز بودن,زن بیچاره چنان ضجه هایی می کرد که دل سنگ اب می شد.
747,دل سنگ به حال کسی اب شدن,در وضع بسیار بد یا ترحم انگیز بودن,دل سنگ به حال این بچه های یتیم جنگ زده اب می شود.
748,دل کاری را داشتن,شهامت انجام کاری را داشتن,پیش ما که می رسد، الدوروم بلدوروم می کند، اما در حضور رئیس دل مخالفت کردن را ندارد.
749,دل کسی برای کسی یا چیزی ضعف رفتن یا کردن,ارزومند یا سخت دوستدار کسی بودن,دلم برای بچه هاش ضعف می ره، اما زنش نمی ذاره بیان پیش من. توضیح: همچنین ← «ضعف کردن برای کسی یا چیزی» و «دل کسی برای کسی یا چیزی غنج زدن»
750,دل کسی برای کسی یا چیزی غنج زدن,بسیار ارزومند یا مشتاق رسیدن به کسی یا چیزی بودن,وقتی از جلوی چلوکبابی رد می شدیم، از نگاهش فهمیدم که دلش برای خوردن یک چلوکباب مفصل غنج می زند، اما غرورش اجازه نمی داد که دعوت مرا بپذیرد. توضیح: همچنین ← «دل کسی برای کسی یا چیزی ضعف رفتن یا کردن» و «ضعف کردن برای کسی یا چیزی»
751,دل کسی خواستن,1- میل یا اشتیاق به چیزی داشتن 2- اراده به انجام کاری کردن,1- دلم می خواست یک سیلی محکم به این مردکه ی الدنگ بزنم.  2- هر غلطی که دلشان می خواهد بکنند، من حاضر نیستم با این ادم ها همکاری کنم.
752,دل کسی لک زدن,سخت خواستار چیزی بودن,از تو چه پنهان، خیلی وقت بود که دلم برای یک غذای درست وحسابی لک زده بود.
753,دل کسی یک ذره شدن,سخت دل تنگ و بی قرار شدن کسی,دلم برای بچه ها یک ذره شده، دیگه نمی تونم دوریشونو تحمل کنم.
